Protocol,Config,disjoint_mean,disjoint_std,matched_random_mean,matched_random_std,gap_matched_minus_disjoint
speaker_disjoint,LR_text_only,0.5815589924376778,0.007552624482683538,0.5943827205288029,0.007699455627897741,0.012823728091125086
speaker_disjoint,LR_text_metadata,0.5934179763004157,0.00652830594965604,0.6166242629953248,0.010495816992322387,0.023206286694909095
speaker_disjoint,NB_text_metadata,0.6016344019847432,0.0033606924241434397,0.6271093812312062,0.00744034310775109,0.025474979246463025
speaker_disjoint,LR_text_metadata_chi3000,0.6085068012700969,0.010479418251832403,0.6298099019515153,0.012617872430368169,0.021303100681418385
subject_disjoint,LR_text_only,0.5837240402871195,0.002843165682263787,0.5943827205288029,0.007699455627897741,0.010658680241683371
subject_disjoint,LR_text_metadata,0.5990292985085844,0.011570725960784832,0.6166242629953248,0.010495816992322387,0.01759496448674036
subject_disjoint,NB_text_metadata,0.6076774836273852,0.012522566584751824,0.6271093812312062,0.00744034310775109,0.019431897603821024
subject_disjoint,LR_text_metadata_chi3000,0.6092419032664379,0.011022224428605166,0.6298099019515153,0.012617872430368169,0.020567998685077415
party_shift,LR_text_only,0.4732544783662833,0.07349886707740474,0.5943827205288029,0.007699455627897741,0.1211282421625196
party_shift,LR_text_metadata,0.502783604288733,0.014456341792433214,0.6166242629953248,0.010495816992322387,0.11384065870659177
party_shift,NB_text_metadata,0.5014429822745425,0.027355476956026525,0.6271093812312062,0.00744034310775109,0.12566639895666365
party_shift,LR_text_metadata_chi3000,0.5359878651049601,0.00482409619836055,0.6298099019515153,0.012617872430368169,0.09382203684655521
