phase,comparison,statistic,p_raw,b_disc,c_disc,b_over_bpc,b_over_bpc_ci_low,b_over_bpc_ci_high,p_holm_R1_family_only,significant_R1_family_only
R1,S1_text_only vs S2_metadata,0.0,1.0,124,125,0.4979919678714859,0.43422890694776667,0.5618033919062781,1.0,False
R1,S1_text_only vs S3_feature_selection,4.612099644128114,0.03174713957515633,122,159,0.43416370106761565,0.37539893960475645,0.49433168100069536,0.13230226475135506,False
R1,S1_text_only vs S4_tuning,0.18991097922848665,0.6629907190483266,164,173,0.486646884272997,0.43212138760537516,0.5414090503720672,1.0,False
R1,S2_metadata vs S3_feature_selection,9.14179104477612,0.002498364201554317,49,85,0.3656716417910448,0.28421608023115197,0.4532056669287635,0.017488549410880218,True
R1,S3_feature_selection vs S4_tuning,4.925675675675675,0.026460452950271014,88,60,0.5945945945945946,0.5108802770893937,0.6744432276207413,0.13230226475135506,False
R1,NB_text_metadata vs NB_text_only,8.69433962264151,0.0031919974272122714,157,108,0.5924528301886792,0.5306431782127439,0.6521706074895635,0.01915198456327363,True
R1,NB_text_metadata vs S3_feature_selection,2.1164021164021163,0.14572853320203633,105,84,0.5555555555555556,0.48167208454159666,0.6276687668649465,0.437185599606109,False
