comparison,point_diff,ci_low,ci_high
S3_feature_selection minus S1_text_only,0.033587394929761816,0.006301174909743021,0.06105255115412783
NB_text_metadata minus NB_text_only,0.051389612223098236,0.0246111007297748,0.07824463031072362
NB_text_metadata minus S3_feature_selection,0.024851748436314658,0.003196284006217937,0.04701856110059243
